level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	1	1	1	1	72	64	54	24	96	Quick
5	1	1	1	1	2	136	64	72	24	95	Start
5	1	1	1	2	1	72	118	48	18	94	This
5	1	1	1	2	2	128	118	26	18	93	is
5	1	1	1	2	3	162	118	18	18	92	a
5	1	1	1	2	4	188	118	78	18	94	short
5	1	1	1	2	5	274	118	98	18	94	article
5	1	1	1	2	6	380	118	110	18	93	intro.
5	1	1	1	3	1	72	144	74	18	94	Second
5	1	1	1	3	2	154	144	54	18	93	line
5	1	1	1	3	3	216	144	34	18	93	of
5	1	1	1	3	4	258	144	86	18	93	copy.
5	1	1	1	4	1	72	232	36	18	95	New
5	1	1	1	4	2	116	232	104	18	95	section
5	1	1	1	4	3	228	232	60	18	95	starts
5	1	1	1	4	4	296	232	50	18	95	now.
